"Country","GAP_DFLE","GAP_DFLE.l","GAP_DFLE.u","GAP_LE","Mortality","Disability","Mortality.l","Mortality.u","Disability.l","Disability.u"
"China",0.454752948582131,0.541057825802003,0.368448071362266,3.81425734,2.38922691392314,-1.93444922990304,2.64129475576224,2.13715907208402,-2.10019836955876,-1.76870009024733
"US",1.63287913675744,1.66761492386752,1.5981433462808,2.98500143,2.25663448421118,-0.623763038899202,2.33171421636775,2.18155475136376,-0.664106760037974,-0.583419320436381
"Korea",4.39247443680082,4.45808563923901,4.32686323483496,5.56264964,4.74458018894631,-0.352183425253319,4.91921424348553,4.56994613680095,-0.461207632253608,-0.243159220175645
"India",-0.165337474174807,-0.114251238389073,-0.216423709960544,1.62685055,1.09158144692426,-1.2569140892069,1.13165598731539,1.05150690653314,-1.24590249011107,-1.26792568830278
"Austria",2.09224501187427,2.14351730740545,2.04097271655122,3.70098141,2.7239132582875,-0.631655917304776,2.92875488090685,2.51907163561179,-0.785222785386981,-0.478089048958562
"Germany",2.38409943327001,2.60941897729449,2.15877988665907,3.6403733,2.72212354712218,-0.338032584564406,2.93293380896022,2.51131328812445,-0.32352725103582,-0.352537923519776
"Sweden",2.11992082772767,2.24257545996412,1.99726619162006,2.73424215,2.28803556613695,-0.168128774902815,2.40677883465382,2.16929229780498,-0.164219449148099,-0.172038104713973
"Spain",2.28341227767011,2.3902615796347,2.17656299355789,4.36687715,3.20010128079297,-0.916684769153498,3.42763877028903,2.97256379305865,-1.03737324305306,-0.795996279163834
"Italy",0.918765650774855,1.15881018930641,0.678721115869525,3.50535001,2.51315052304834,-1.59435553925089,2.69253433034486,2.33376671366217,-1.53369756671037,-1.65501350607542
"France",2.91130601962044,3.01774189399236,2.80487013140382,4.52951545,3.10757107105705,-0.196295676812827,3.34619802676817,2.86894411532611,-0.328479839856087,-0.0641115275932904
"Denmark",3.01490222859287,2.18753165518484,3.84227280660753,2.99040254,2.39027003374281,0.624593512075016,2.6475806671004,2.13295940010567,-0.460067581810488,1.70925461084672
"Greece",2.37490660725576,2.53066855221284,2.21914466705792,4.00813321,3.26556352938093,-0.89067404991734,3.43608235558484,3.0950447035047,-0.905430395575944,-0.875917699827262
"Switzerland",2.27669241541377,2.51927873660782,2.03410610369459,3.26184773,2.76685106235601,-0.490163002049119,2.94678436025232,2.58691776504201,-0.427519527906188,-0.552806467299611
"Belgium",1.11675693993002,1.171634260501,1.06187961021097,3.53302219,2.45845951001099,-1.34166845339096,2.61945368343259,2.29746533669068,-1.44778432642331,-1.23555258960793
"Israel",1.44244055022552,1.61447032270116,1.27041075678104,2.80449061,1.93899181570743,-0.496553812691406,2.15956918315945,1.71841444796152,-0.545102800891883,-0.448004845165627
"Czech Republic",2.73976400603711,2.85095611338347,2.62857191109257,4.16821228,3.17883038932577,-0.439064704044455,3.41419015848663,2.94347062266193,-0.563239500473898,-0.314889897710684
"Poland",3.18963681512405,3.46754270957263,2.91173090735849,5.01288162,3.5124152372376,-0.322802445249343,3.85848697144671,3.166343502366,-0.391012679664307,-0.254592223488794
"Luxembourg",1.47924083399599,2.00219555583285,0.956286099766338,3.06736405,2.28811850012465,-0.80887451510219,2.49587839629096,2.08035860513387,-0.493687575010359,-1.12406146876202
"Portugal",-0.366039645451462,0.592903764582935,-1.32498306482038,4.14883014,2.32977750011594,-2.69577100534713,3.01536780089441,1.64418719889861,-2.42241524789419,-2.96912677169504
"Slovenia",3.20637874849118,3.26371765735562,3.14903985661845,4.30839966,3.30421701486749,-0.0978594161014072,3.53215597092894,3.07627805926198,-0.268460306869606,0.0727414912023825
"Estonia",3.51484926845712,3.64885195194481,3.3808465870871,5.64655618,4.26295786271617,-0.748140376251712,4.49454729660104,4.03136842987962,-0.845724658856152,-0.650556092578459
"Croatia",2.12348591620952,2.63186349110516,1.61510834947651,4.27558449,3.3002128895843,-1.1767077948676,3.62095593237968,2.97946984787272,-0.989095237257501,-1.36432034539929
"Europe",2.44982041899836,2.50471386734515,2.39492696501665,4.15238648,3.08730182167761,-0.637486435208057,3.17497935681546,2.99962428773453,-0.670271766661365,-0.604701110584159
"Mexico",0.743242592925832,0.804238569886088,0.682246615965582,2.63817975,1.90857575151538,-1.16533682208107,2.06840694944649,1.74874455358425,-1.2641710481736,-1.0665025959885
"England",1.58056701242743,1.59530834970648,1.56582567514839,2.67951547,1.85615325128174,-0.275584167456845,1.96091497443078,1.75139152813269,-0.365604315632957,-0.185564019280655
